feature,importance
LVPZ__last,0.0011516544884280166
QMWT__last,0.0011429119412684997
PRBA__last,0.0011239913552817211
WLR__std,0.001106942644277875
TSAT__mean,0.0011012860652828227
PSGB__max,0.001093695016635048
STRB__min,0.0010931333604059458
PWR__last,0.0010732822569765315
WUP__mean,0.00106811738112579
QMGB__min,0.0010609724166487466
PWNT__mean,0.0010549151306571375
TKLV__last,0.0010531541589056707
TFSB__min,0.0010079404066364532
DTHY__min,0.0009874372576687785
TFSB__mean,0.0009729981464984723
WLR__last,0.000972426960910562
SCMB__max,0.0009564835319491805
RC131__std,0.0009451432967169615
WFWA__min,0.0009222114377946041
TPCT__min,0.0009021701728871112
SCMB__mean,0.0008980641086535568
WCHG__mean,0.0008943655866526373
DWB__min,0.0008884956108250464
TFPK__mean,0.0008806848131155176
PRB__std,0.0008733767807535799
WSTA__last,0.0008495112223769282
TFPK__min,0.000833404808636834
VOL__delta,0.0008316294367569868
VOL__max,0.000831463518994054
RHFL__mean,0.0008296996674761061
RHRD__std,0.0008038353194297985
WFWB__delta,0.0007976920370521732
RHMT__max,0.0007901935811197937
WFWA__last,0.0007799788772124389
WFWA__delta,0.0007705128685882343
TSAT__delta,0.0007636049032203643
PRBA__max,0.000750826860390955
RC87__max,0.0007489342610218156
DNBR__delta,0.0007437667874914672
TPCT__mean,0.0007386929953774446
WCSP__std,0.0007325980270292684
PWNT__last,0.000713660243448175
VOID__min,0.0007128973816718955
TCB__min,0.0006558835767328475
TRB__min,0.0006475037331447085
WSTA__delta,0.0006397600509913966
SCMB__delta,0.0006388891320944335
RHFL__max,0.0006319962012647308
PWR__mean,0.0006157785125563348
WCSP__last,0.0006094911493726346
WECS__delta,0.0006082513759034625
LSGA__max,0.0006058375106607926
THB__min,0.0006025635868684996
RC131__last,0.0006018786364632853
TBLD__min,0.0005938531052089371
SCMA__last,0.0005922721762148544
PWR__delta,0.0005873593363820539
WRCB__max,0.0005713572652272145
P__mean,0.0005699733299134222
RC131__mean,0.0005668151024117399
TBLD__std,0.0005613159402880066
SCMA__mean,0.0005572605032665249
WHPI__delta,0.0005563668672476876
RHRD__delta,0.0005494249994547902
RRCB__mean,0.00054615963216935
WSPY__std,0.0005455394379739512
RC131__max,0.0005260064277482395
DNBR__last,0.0005198166424297747
HUP__delta,0.0005094787631712303
WSTB__mean,0.0005043920937270635
WSTB__delta,0.0004970114259182843
TCA__delta,0.0004908801131545848
WUP__max,0.0004903539005987558
PPM__max,0.000488812723932815
HLW__delta,0.000481662689691154
RRCA__std,0.00047592319161644006
TSAT__last,0.00045714389772409734
RC87__delta,0.0004458950545013157
RC87__mean,0.00044185041642658926
WRCA__delta,0.0004382694561523373
WRCB__delta,0.00043047627004490755
TF__last,0.00041335530251134515
DNBR__max,0.00041158359241670465
QMWT__delta,0.0004070671711148777
RC87__std,0.00040447285328133254
PSGA__max,0.000401701563803453
TFSB__std,0.00039349813514084187
P__max,0.00039322380330904857
WRCA__mean,0.0003882010374813502
TFSB__delta,0.00038738475874451443
RRCO__last,0.000386752033553817
QMGA__mean,0.0003859529890550313
VOID__std,0.00038432855538164527
VOID__last,0.0003569903643398473
PRB__delta,0.00035300262492329984
RHFL__delta,0.0003462194200538393
WRCB__mean,0.0003314309665499344
STRB__mean,0.00032913904442093654
RRCB__max,0.0003274628181562296
RHRD__last,0.0003232652910804476
PRB__min,0.0003227196727553991
RRCA__delta,0.0003216347169234283
TF__delta,0.0003204214072752729
RC131__delta,0.00031954365108495156
VOID__delta,0.0003145129661686497
RHRD__min,0.0003040581728830041
RRCO__std,0.00029509507196207594
P__last,0.00029369394184427215
RHFL__last,0.0002907488257018597
THA__min,0.0002885282303213368
WRCA__last,0.0002865951181197617
WCSP__delta,0.0002843403490180287
WRCA__std,0.0002831916369019553
DNBR__mean,0.0002791494534470353
TBLD__last,0.00027777142808109423
WRCA__max,0.0002761878497190631
PRBA__min,0.0002745944258405664
PWR__min,0.00026972324071855043
SCMA__delta,0.00026719786204243326
LVCR__last,0.00026131831966378375
WHPI__max,0.00026049613954905876
QMWT__min,0.0002562234881098166
RRCB__last,0.00022652963454578197
STRB__delta,0.00021609297605741927
